trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-094,16:46:30,16:49:40,16:52:40,16:54:50,16:57:10,16:59:50,17:01:50,17:04:30,17:06:30,17:09:00,17:11:00,17:13:10,17:16:10,0:29:40
NS-WD-LBB-BHI-095,16:51:30,16:54:40,16:57:40,16:59:50,17:02:10,17:04:50,17:06:50,17:09:30,17:11:30,17:14:00,17:16:00,17:18:10,17:21:10,0:29:40
NS-WD-LBB-BHI-096,16:56:30,16:59:40,17:02:40,17:04:50,17:07:10,17:09:50,17:11:50,17:14:30,17:16:30,17:19:00,17:21:00,17:23:10,17:26:10,0:29:40
NS-WD-LBB-BHI-097,17:01:30,17:04:40,17:07:40,17:09:50,17:12:10,17:14:50,17:16:50,17:19:30,17:21:30,17:24:00,17:26:00,17:28:10,17:31:10,0:29:40
NS-WD-LBB-BHI-098,17:06:40,17:09:40,17:12:50,17:15:00,17:17:20,17:20:00,17:22:00,17:24:40,17:26:40,17:29:10,17:31:10,17:33:20,17:36:20,0:29:40
NS-WD-LBB-BHI-099,17:11:50,17:15:00,17:18:00,17:20:10,17:22:30,17:25:10,17:27:10,17:29:50,17:31:50,17:34:20,17:36:20,17:38:30,17:41:30,0:29:40
NS-WD-LBB-BHI-100,17:17:00,17:20:10,17:23:10,17:25:20,17:27:40,17:30:20,17:32:20,17:35:00,17:37:00,17:39:30,17:41:30,17:43:40,17:46:40,0:29:40
NS-WD-LBB-BHI-101,17:22:00,17:25:10,17:28:10,17:30:20,17:32:40,17:35:20,17:37:20,17:40:00,17:42:00,17:44:30,17:46:30,17:48:40,17:51:40,0:29:40
NS-WD-LBB-BHI-102,17:27:00,17:30:10,17:33:10,17:35:20,17:37:40,17:40:20,17:42:20,17:45:00,17:47:00,17:49:30,17:51:30,17:53:40,17:56:40,0:29:40
NS-WD-LBB-BHI-103,17:32:00,17:35:10,17:38:10,17:40:20,17:42:40,17:45:20,17:47:20,17:50:00,17:52:00,17:54:30,17:56:30,17:58:40,18:01:40,0:29:40
NS-WD-LBB-BHI-104,17:37:00,17:40:10,17:43:10,17:45:20,17:47:40,17:50:20,17:52:20,17:55:00,17:57:00,17:59:30,18:01:30,18:03:40,18:06:40,0:29:40
NS-WD-LBB-BHI-105,17:42:00,17:45:10,17:48:10,17:50:20,17:52:40,17:55:20,17:57:20,18:00:00,18:02:00,18:04:30,18:06:30,18:08:40,18:11:40,0:29:40
NS-WD-LBB-BHI-106,17:47:00,17:50:10,17:53:10,17:55:20,17:57:40,18:00:20,18:02:20,18:05:00,18:07:00,18:09:30,18:11:30,18:13:40,18:16:40,0:29:40
NS-WD-LBB-BHI-107,17:52:00,17:55:10,17:58:10,18:00:20,18:02:40,18:05:20,18:07:20,18:10:00,18:12:00,18:14:30,18:16:30,18:18:40,18:21:40,0:29:40
NS-WD-LBB-BHI-108,17:57:00,18:00:10,18:03:10,18:05:20,18:07:40,18:10:20,18:12:20,18:15:00,18:17:00,18:19:30,18:21:30,18:23:40,18:26:40,0:29:40
NS-WD-LBB-BHI-109,18:02:00,18:05:10,18:08:10,18:10:20,18:12:40,18:15:20,18:17:20,18:20:00,18:22:00,18:24:30,18:26:30,18:28:40,18:31:40,0:29:40
NS-WD-LBB-BHI-110,18:07:00,18:10:10,18:13:10,18:15:20,18:17:40,18:20:20,18:22:20,18:25:00,18:27:00,18:29:30,18:31:30,18:33:40,18:36:40,0:29:40
