trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI
NS-WE-LBB-BHI-082,18:40:00,18:42:20,18:45:40,18:47:50,18:50:10,18:52:30,18:54:40,18:57:10,18:59:00,19:01:30,19:04:10,19:06:20,19:09:20
NS-WE-LBB-BHI-083,18:50:00,18:52:20,18:55:40,18:57:50,19:00:10,19:02:30,19:04:40,19:07:10,19:09:00,19:11:30,19:14:10,19:16:20,19:19:20
NS-WE-LBB-BHI-084,19:00:00,19:02:20,19:05:40,19:07:50,19:10:10,19:12:30,19:14:40,19:17:10,19:19:00,19:21:30,19:24:10,19:26:20,19:29:20
NS-WE-LBB-BHI-085,19:10:00,19:12:20,19:15:40,19:17:50,19:20:10,19:22:30,19:24:40,19:27:10,19:29:00,19:31:30,19:34:10,19:36:20,19:39:20
NS-WE-LBB-BHI-086,19:20:00,19:22:20,19:25:40,19:27:50,19:30:10,19:32:30,19:34:40,19:37:10,19:39:00,19:41:30,19:44:10,19:46:20,19:49:20
NS-WE-LBB-BHI-087,19:30:00,19:32:20,19:35:40,19:37:50,19:40:10,19:42:30,19:44:40,19:47:10,19:49:00,19:51:30,19:54:10,19:56:20,19:59:20
NS-WE-LBB-BHI-088,19:40:00,19:42:20,19:45:40,19:47:50,19:50:10,19:52:30,19:54:40,19:57:10,19:59:00,20:01:30,20:04:10,20:06:20,20:09:20
NS-WE-LBB-BHI-089,19:50:00,19:52:20,19:55:40,19:57:50,20:00:10,20:02:30,20:04:40,20:07:10,20:09:00,20:11:30,20:14:10,20:16:20,20:19:20
NS-WE-LBB-BHI-090,20:00:00,20:02:20,20:05:40,20:07:50,20:10:10,20:12:30,20:14:40,20:17:10,20:19:00,20:21:30,20:24:10,20:26:20,20:29:20
NS-WE-LBB-BHI-091,20:10:00,20:12:20,20:15:40,20:17:50,20:20:10,20:22:30,20:24:40,20:27:10,20:29:00,20:31:30,20:34:10,20:36:20,20:39:20
NS-WE-LBB-BHI-092,20:20:00,20:22:20,20:25:40,20:27:50,20:30:10,20:32:30,20:34:40,20:37:10,20:39:00,20:41:30,20:44:10,20:46:20,20:49:20
NS-WE-LBB-BHI-093,20:30:00,20:32:20,20:35:40,20:37:50,20:40:10,20:42:30,20:44:40,20:47:10,20:49:00,20:51:30,20:54:10,20:56:20,20:59:20
NS-WE-LBB-BHI-094,20:40:00,20:42:20,20:45:40,20:47:50,20:50:10,20:52:30,20:54:40,20:57:10,20:59:00,21:01:30,21:04:10,21:06:20,21:09:20
NS-WE-LBB-BHI-095,20:50:00,20:52:20,20:55:40,20:57:50,21:00:10,21:02:30,21:04:40,21:07:10,21:09:00,21:11:30,21:14:10,21:16:20,21:19:20
NS-WE-LBB-BHI-096,21:00:00,21:02:20,21:05:40,21:07:50,21:10:10,21:12:30,21:14:40,21:17:10,21:19:00,21:21:30,21:24:10,21:26:20,21:29:20
NS-WE-LBB-BHI-097,21:10:00,21:12:20,21:15:40,21:17:50,21:20:10,21:22:30,21:24:40,21:27:10,21:29:00,21:31:30,21:34:10,21:36:20,21:39:20
NS-WE-LBB-BHI-098,21:20:00,21:22:20,21:25:40,21:27:50,21:30:10,21:32:30,21:34:40,21:37:10,21:39:00,21:41:30,21:44:10,21:46:20,21:49:20
NS-WE-LBB-BHI-099,21:30:00,21:32:20,21:35:40,21:37:50,21:40:10,21:42:30,21:44:40,21:47:10,21:49:00,21:51:30,21:54:10,21:56:20,21:59:20
NS-WE-LBB-BHI-100,21:40:00,21:42:20,21:45:40,21:47:50,21:50:10,21:52:30,21:54:40,21:57:10,21:59:00,22:01:30,22:04:10,22:06:20,22:09:20
NS-WE-LBB-BHI-101,21:50:00,21:52:20,21:55:40,21:57:50,22:00:10,22:02:30,22:04:40,22:07:10,22:09:00,22:11:30,22:14:10,22:16:20,22:19:20
NS-WE-LBB-BHI-102,22:00:00,22:02:20,22:05:40,22:07:50,22:10:10,22:12:30,22:14:40,22:17:10,22:19:00,22:21:30,22:24:10,22:26:20,22:29:20
NS-WE-LBB-BHI-103,22:10:00,22:12:20,22:15:40,22:17:50,22:20:10,22:22:30,22:24:40,22:27:10,22:29:00,22:31:30,22:34:10,22:36:20,22:39:20
NS-WE-LBB-BHI-104,22:21:00,22:23:20,22:26:40,22:28:50,22:31:10,22:33:30,22:35:40,22:38:10,22:40:00,22:42:30,22:45:10,22:47:20,22:50:20
NS-WE-LBB-BHI-105,22:33:00,22:35:20,22:38:40,22:40:50,22:43:10,22:45:30,22:47:40,22:50:10,22:52:00,22:54:30,22:57:10,22:59:20,23:02:20
NS-WE-LBB-BHI-106,22:45:00,22:47:20,22:50:40,22:52:50,22:55:10,22:57:30,22:59:40,23:02:10,23:04:00,23:06:30,23:09:10,23:11:20,23:14:20
NS-WE-LBB-BHI-107,22:57:00,22:59:20,23:02:40,23:04:50,23:07:10,23:09:30,23:11:40,23:14:10,23:16:00,23:18:30,23:21:10,23:23:20,23:26:20
NS-WE-LBB-BHI-108,23:12:00,23:14:20,23:17:40,23:19:50,23:22:10,23:24:30,23:26:40,23:29:10,23:31:00,23:33:30,23:36:10,23:38:20,23:41:20
NS-WE-LBB-BKM-ST-001,23:27:00,23:29:20,23:32:40,23:34:50,23:37:10,23:40:10,,,,,,,
NS-WE-BKM-BHI-ST-001,,,,,,5:00:00,5:02:00,5:04:30,5:06:20,5:08:50,5:11:30,5:13:40,5:16:40
